11,Жогорку Кенеш Кыргызской Республики
43 6 2 0,Государственная фельдъегерская служба при Министерстве транспорта и коммуникаций Кыргызской Республики
43 8 2 1,Кыргызский авиационный колледж им.И.Абдраимова 
43 9 1 0,Министерство транспорта и коммуникаций Кыргызской Республики (ПГИ) - софинансирование
43 9 2 0,Министерство транспорта и коммуникаций Кыргызской Республики (Грант)
43 9 3 0,Министерство транспорта и коммуникаций Кыргызской Республики (Кредит)
44,"Министерство культуры, информации  и туризма Кыргызской Республики"
44 1 1 0,"Министерство культуры, информации и туризма  (аппарат)"
44 1 2 1,"Министерство культуры, информации  и туризма Кыргызской Республики (подведомственные учреждения )"
44 1 3 1,"Кыргызский Национальный Комплекс ""Манас Ордо"""
44 2 1 0,Департамент туризма (аппарат) 
44 3 2 0,Комитет по государственным премиям Кыргызской Республики имени Токтогула
44 4 1 0,"Департамент кинематографии  при Министерстве культуры, информации  и туризма Кыргызской Республики (аппарат)"
44 4 2 0,"Департамент кинематографии при Министерстве культуры, информации  и туризма Кыргызской Республики (подведомственные учреждения )"
44 5 2 1,"Кыргызское национальное информационное агентство ""Кабар"""
44 6 2 0,"Редакционная коллегия  республиканской книги ""Память"""
44 7 2 1,Областные  редакции газет
44 8 2 1,Областные телерадиокампании
45,Министерство чрезвычайных ситуаций Кыргызской Республики
45 1 1 0,Министерство чрезвычайных ситуаций Кыргызской Республики (аппарат)
45 1 2 1,Министерство чрезвычайных ситуаций Кыргызской Республики (подведомственные учреждения)
45 1 3 0,Министерство чрезвычайных ситуаций Кыргызской Республики (агентство по гидрометеорологии)
45 1 4 1,Министерство чрезвычайных ситуаций Кыргызской Республики (Специальные фонды по предупреждению и ликвидации последствий чрезвычайных ситуаций)
45 2 2 1,"Государственное агентство  ""Сельводзащита"" при Министерстве чрезвычайных ситуаций Кыргызской Республики  "
45 3 2 0,Агентство государственной противопожарной службы при Министерстве чрезвычайных ситуаций Кыргызской Республики (подведомственные учреждения )
45 9 1 0,Министерство чрезвычайных ситуаций Кыргызской Республики (ПГИ) софинансирование
45 9 2 0,Министерство чрезвычайных ситуаций Кыргызской Республики (Грант)
45 9 3 0,Министерство чрезвычайных ситуаций Кыргызской Республики (Кредит)
46,Центрально-Азиатский институт прикладных исследований Земли
46 1 2 0,Центрально-Азиатский институт прикладных исследований Земли
47,Государственная налоговая служба при Правительстве Кыргызской Республики 
47 1 1 0,Государственная налоговая служба при Правительстве Кыргызской Республики  (аппарат)
47 1 2 0,Государственная налоговая служба при Правительстве Кыргызской Республики  (подведомственные учреждения)
47 9 1 0,Государственная налоговая служба при Правительстве Кыргызской Республики  (ПГИ) софинансирование
47 9 2 0,Государственная налоговая служба при Правительстве Кыргызской Республики  (Грант)
47 9 3 0,Государственная налоговая служба при Правительстве Кыргызской Республики   (Кредит)
48,Государственная таможенная служба при Правительстве Кыргызской Республики
48 1 1 0,Государственная таможенная служба при Правительстве Кыргызской Республикии (аппарат)
48 1 2 0,Государственная таможенная служба при Правительстве Кыргызской Республики (подведомственные учреждения)
48 9 1 0,Государственная  таможенная служба при Правительстве Кыргызской Республики  (ПГИ) софинансирование
48 9 2 0,Государственная  таможенная служба при Правительстве Кыргызской Республики  (Грант)
48 9 3 0,Государственная  таможенная служба при Правительстве Кыргызской Республики   (Кредит)
49,"Центральное правление ""Кыргызского общества слепых и глухих"" "
49 1 2 0,"Центральное правление ""Кыргызского общества слепых и глухих"" "
50,Национальная комиссия по государственному языку  при Президенте Кыргызской Республики
50 1 2 1,Национальная комиссия по государственному языку  при Президенте Кыргызской Республики
51,Государственное агентство по делам местного самоуправления и межэтнических отношений при Правительстве Кыргызской Республики 
51 1 1 0,Государственное агентство по делам местного самоуправления и межэтнических отношений при Правительстве Кыргызской Республики 
52,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики
52 1 1 0,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики (аппарат)
52 1 2 0,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики (подведомственные учреждения)
52 9 1 0,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики (ПГИ) софинансирование
52 9 2 0,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики (Грант)
52 9 3 0,Государственное агентство охраны окружающей среды и лесного хозяйства при Правительстве Кыргызской Республики (Кредит)
53,Государственная регистрационная служба при Правительстве Кыргызской Республики
53 1 1 0,Государственная регистрационная служба при Правительстве Кыргызской Республики (аппарат)
53 1 2 0,Государственная регистрационная служба при Правительстве Кыргызской Республики (подведомственные учреждения)
53 3 1 0,Архивное агентство при Государственной регистрационной службе при Правительстве Кыргызской Республики (аппарат)
53 3 2 0,Архивное агентство при Государственной регистрационной службе при Правительстве Кыргызской Республики (подведомственные учреждения)
53 9 1 0,Государственная регистрационная служба при Правительстве Кыргызской Республики (ПГИ) софинансирование
53 9 2 0,Государственная регистрационная служба при Правительстве Кыргызской Республики (Грант)
53 9 3 0,Государственная регистрационная служба при Правительстве Кыргызской Республики (Кредит)
54,Государственная инспекция по экологической и технической безопасности
54 1 1 0,Государственная инспекция по экологической и технической безопасности (аппарат)
54 1 2 0,Государственная инспекция по экологической и технической безопасности (подведомственные учреждения)
55,Государственное агентство Кыргызской Республики по геологии и минеральным ресурсам
55 1 1 0,Государственное агентство Кыргызской Республики по геологии и минеральным ресурсам (аппарат)
55 1 2 0,Государственное агентство Кыргызской Республики по геологии и минеральным ресурсам (подведомственные учреждения)
55 4 2 0,Государственная картографо-геодезическая служба  Кыргызской Республики
56,Государственное агентство по физической культуре и спорту при Правительстве Кыргызской Республики
56 1 1 0,Государственное агентство по физической культуре и спорту при Правительстве Кыргызской Республики (аппарат)
56 1 2 1,Государственное агентство по физической культуре и спорту при Правительстве Кыргызской Республики (подведомственные учреждения)
57,Государственный фонд развития экономики  Кыргызской Республики
57 1 1 0,Государственный фонд развития экономики Кыргызской Республики
58,Государственная служба  регулирования и надзора за финансовым рынком при Правительстве Кыргызской Республики
58 1 1 0, Государственная служба регулирования и надзора за финансовым рынком при Правительстве Кыргызской Республики (аппарат)
58 1 2 0,Государственная служба регулирования и надзора за финансовым рынком при Правительстве Кыргызской Республики (подведомственные учреждения)
59,Государственная кадровая служба Кыргызской Республики 
59 1 1 0,Государственная кадровая служба Кыргызской Республики  (аппарат)
59 1 2 0,Государственная кадровая служба Кыргызской Республики  (подведомственные органы)
59 2 1 0,Агентство  по предупреждению коррупции при государственной кадровой службе Кыргызской Республики(аппарат)
60,"Государственное агентство архитектуры, строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики"
60 1 1 0,"Государственное агентство , строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики(аппарат)"
60 1 2 0,"Государственное агентство , строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики(подведомственные учреждения)"
60 9 1 1,"Государственное агентство архитектуры, строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики(ПГИ софинансирование)"
60 9 2 1,"Государственное агентство архитектуры, строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики (Грант)"
60 9 3 1,"Государственное агентство архитектуры, строительства и жилищно-коммунального хозяйства при Правительстве Кыргызской Республики (Кредит)"
61,Государственная служба по борьбе с экономическими преступлениями при Правительстве  Кыргызской Республики
61 1 1 0,Государственная служба по борьбе с экономическими преступлениями при Правительстве  Кыргызской Республики (аппарат)
61 1 2 0,Государственная служба по борьбе с экономическими преступлениями при Правительстве Кыргызской Республики (подведомственные учреждения)
74 1 2 0,Национальный статистический комитет Кыргызской Республики (подведомственные учреждения)
62,Государственная инспекция  по ветеринарной и фитосанитарной безопасности при Правительстве Кыргызской Республики 
62 1 1 0,Государственная инспекция  по  ветеринарной и фитосанитарной безопасности при Правительстве Кыргызской Республики (аппарат) 
62 1 2 0,Государственная инспекция  по ветеринарной и фитосанитарной безопасности при Правительстве Кыргызской Республики (подведомственные учреждения) 
63,Государственное агентство связи при Правительстве Кыргызской Республики
63 1 1 0,Государственное агентство связи при Правительстве Кыргызской Республики (аппарат)
63 1 2 0,Государственное агентство связи при Правительстве Кыргызской Республики (Подведомственные учреждения)
64,Государственная комиссия по делам религий
64 1 2 0,Государственная комиссия по делам религий
65,Государственная служба  по контролю наркотиков  при Правительстве Кыргызской Республики
65 1 1 0,Государственная служба  по контролю наркотиков  при Правительстве Кыргызской Республики
66,Центр судебного представительства Правительства Кыргызской Республики
66 1 1 0,Центр судебного представительства Правительства Кыргызской Республики
67,Государственный комитет национальной безопасности Кыргызской Республики
67 1 1 0,Государственный комитет национальной безопасности Кыргызской Республики (аппарат)
67 1 2 0,Государственный комитет национальной безопасности Кыргызской Республики (подведомственные учреждения)
67 3 2 0,9 Служба Государственного комитета национальной безопасности КР
68,Секретариат Национальной  комиссии Кыргызской Республики по делам ЮНЕСКО  
68 1 2 0,Секретариат Национальной  комиссии Кыргызской Республики по делам ЮНЕСКО  
69,Государственная пограничная служба Кыргызской Республики  
69 1 1 0,Государственная пограничная служба Кыргызской Республики (аппарат)
69 1 2 0,Государственная пограничная служба Кыргызской Республики (подведомственные учреждения)
70,Национальный институт стратегических исследований Кыргызской республики
70 1 2 0,Национальный институт стратегических исследований Кыргызской республики
71,Государственная служба финансовой разведки Кыргызской Республики
71 1 1 0,Государственная служба финансовой разведки при Правительстве Кыргызской Республики (аппарат)
72,Государственное агентство антимонопольного регулирования при Правительстве Кыргызской Республики 
72 1 1 0,Государственное агентство антимонопольного регулирования при Правительстве Кыргызской Республики (аппарат)
72 1 2 0,Государственное агентство антимонопольного регулирования при Правительстве Кыргызской Республики (территориальные органы)
73,"Министерство труда, миграции и молодежи Кыргызской Республики"
73 1 1 0,"Министерство труда, миграции и молодежи  Кыргызской Республики (аппарат)"
73 1 2 1,"Министерство труда, миграции и молодежи  Кыргызской Республики (подведомственные учреждения)"
73 2 2 1,"Республиканский дворец молодежи ""Манас"""
73 3 2 1,"Центр трудоустройства граждан Кыргызской Республики за рубежом при Министерстве труда, миграции и молодежи  Кыргызской Республики "
73 4 1 0,"Агентство профессионально-технического образования  при Министерстве труда, миграции и молодежи  Кыргызской Республики (аппарат)"
73 4 2 1,"Агентство профессионально-технического образования  при Министерстве труда, миграции и молодежи  Кыргызской Республики(подведомственные учреждения)"
73 9 1 1,"Министерство труда, миграции и молодежи  Кыргызской Республики (ПГИ) софинансирование"
73 9 2 1,"Министерство труда, миграции и молодежи  Кыргызской Республики (Грант)"
73 9 3 1,"Министерство труда, миграции и молодежи  Кыргызской Республики (Кредит)"
74,Национальный статистический комитет Кыргызской Республики
